Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1335769058353045504,"@SeraphPundit @TimeEtranger He got illusioned into killing the X-men by Mysterio during a Big War where the supervillains Won, which is why he's all depressed and distant. In the comics.",Artemis Ursidae ??,The_Bear_Queen,2020-12-07T02:12:15.000Z,Mon Dec 07 02:12:15 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,2,,,,,
1335769049184276480,Dating me is like having a depressed comedian and pornstar..,karina,lolllkarina,2020-12-07T02:12:13.000Z,Mon Dec 07 02:12:13 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1335769026165960705,RT @ItsBarbie304 : @BladeBih @BIGJOSHAYBXTCH Ong now just THINKING about smoking makes me depressed and anxious.,kk,kaylianna__,2020-12-07T02:12:07.000Z,Mon Dec 07 02:12:07 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,2,,,,,
1335769025901715456,I’ve always leaned more toward anxiety but this is probably as close to depressed as I’ve ever felt. (Minus when I lived in Chicago and sobbed hysterically for hours every single day and kinda didn’t eat for two weeks),peachy QUEEN,peachy_thunder,2020-12-07T02:12:07.000Z,Mon Dec 07 02:12:07 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1335769013813702656,RT @SASBurnerAcct : @AyoAjayi1905 Watching Arsenal and the Bears back to back got me borderline depressed,Mahdi??,mahdi_0328,2020-12-07T02:12:04.000Z,Mon Dec 07 02:12:04 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,1,,,,,
1335769002237366274,"RT @R0SEPTLS : can we talk abt how good of an actor tommy is like the fact that so many people are convinced hes “actually depressed” is insane

he rly doesnt get enough credit for his acting",KATHY ? ??,KXFFEKXTHY,2020-12-07T02:12:02.000Z,Mon Dec 07 02:12:02 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335768988362682371,"@vgdunkey only 3 videos in the last 3 days, slacking man",Rusty Shackleford,depressed_dale,2020-12-07T02:11:58.000Z,Mon Dec 07 02:11:58 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1335768979684659201,"@Wario64 Profoundly depressed siiiiiiigh...

...this was the final MvC game ever. We never got another one.

OH WELL, time to cut ties with Disneigh. I heard Shonen Jump has characters! How bout a Capcom vs. Capcom? Tasunoko vs. Capcom 2? Make Sega vs. Capcom a thing.",Wolf Cypher,WolfCyphr,2020-12-07T02:11:56.000Z,Mon Dec 07 02:11:56 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1335768979600789513,RT @_lauraidamarie : I was pretty much depressed for most of this year sometimes I can’t even believe I made it this far if we being real,Sadé Adu,Saaaddeee,2020-12-07T02:11:56.000Z,Mon Dec 07 02:11:56 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1335768975712595975,RT @McGreatTheNate : Feeling depressed and alone tonight,Q I N G ??,anzleerenee,2020-12-07T02:11:55.000Z,Mon Dec 07 02:11:55 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
